Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed,Max Wind Speed
Sembawang,1991,7,10,0,,,,28.4,32.3,24.3,7.5,
Sembawang,1991,7,11,0,,,,28.3,32.1,24.3,10.3,
Sembawang,1991,7,12,0,,,,28.5,32.7,24.3,12.5,
Sembawang,1991,7,13,0,,,,28.7,32.9,24.2,11.3,
Sembawang,1991,7,14,0,,,,28.8,32.6,25.2,11.3,
Sembawang,1991,7,15,0,,,,29.3,33.7,25.8,12.3,
Sembawang,1991,7,16,23.9,,,,26.7,31.8,21.8,9.1,
Sembawang,1991,7,17,0,,,,28.6,33.7,23.3,7.4,
Sembawang,1991,7,18,0,,,,29.1,33.4,25.4,9.5,
Sembawang,1991,7,19,2.3,,,,27.4,33,24.6,7.4,
Sembawang,1991,7,20,0,,,,26.1,28.9,22.8,8.7,
Sembawang,1991,7,21,0,,,,28,32.6,24,10.3,
Sembawang,1991,7,22,35.5,,,,26.6,30.7,23.8,7.9,
Sembawang,1991,7,23,24.3,,,,26.2,31.4,23.3,13.7,
Sembawang,1991,7,24,0,,,,27.6,31.6,23.6,11.5,
Sembawang,1991,7,25,0,,,,28.6,33,25,10.3,
Sembawang,1991,7,26,0,,,,29.2,33,26.1,10.2,
Sembawang,1991,7,27,0,,,,29,33.1,25.3,10.4,
Sembawang,1991,7,28,0,,,,29.4,33.3,25.5,10.8,
Sembawang,1991,7,29,0,,,,29.3,33.3,25.6,11.6,
Sembawang,1991,7,30,14.9,,,,28,33.5,24.6,8.9,
Sembawang,1991,7,31,0,,,,28.9,33.7,24.3,7,
Sembawang,1991,8,1,0,,,,28.6,33,24.9,9.6,
Sembawang,1991,8,2,15.2,,,,27.1,31.7,23.3,6.6,
Sembawang,1991,8,3,0.2,,,,27.8,32.7,22.8,10.3,
Sembawang,1991,8,4,0,,,,28.2,32.5,23.9,10.4,
Sembawang,1991,8,5,0,,,,27.8,32.4,22.2,10.9,
Sembawang,1991,8,6,0,,,,28.1,32.2,23.3,12.4,
