Station,Year,Month,Day,Daily Rainfall Total (mm),Daily Rainfall Total,Highest 30 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Jurong (West),1981,9,8,0,,,,,,,,
Jurong (West),1981,9,9,0.4,,,,,,,,
Jurong (West),1981,9,10,28.6,,,,,,,,
Jurong (West),1981,9,11,7.5,,,,,,,,
Jurong (West),1981,9,12,0,,,,,,,,
Jurong (West),1981,9,13,0.8,,,,,,,,
Jurong (West),1981,9,14,1.5,,,,,,,,
Jurong (West),1981,9,15,0.1,,,,,,,,
Jurong (West),1981,9,16,0,,,,,,,,
Jurong (West),1981,9,17,10,,,,,,,,
Jurong (West),1981,9,18,0,,,,,,,,
Jurong (West),1981,9,19,13.6,,,,,,,,
Jurong (West),1981,9,20,23.3,,,,,,,,
Jurong (West),1981,9,21,7.6,,,,,,,,
Jurong (West),1981,9,22,21,,,,,,,,
Jurong (West),1981,9,23,0,,,,,,,,
Jurong (West),1981,9,24,12.6,,,,,,,,
Jurong (West),1981,9,25,0.1,,,,,,,,
Jurong (West),1981,9,26,0.8,,,,,,,,
Jurong (West),1981,9,27,17,,,,,,,,
Jurong (West),1981,9,28,0,,,,,,,,
Jurong (West),1981,9,29,26.3,,,,,,,,
Jurong (West),1981,9,30,0,,,,,,,,
Jurong (West),1981,10,1,0,,,,,,,,
Jurong (West),1981,10,2,0,,,,,,,,
Jurong (West),1981,10,3,10.7,,,,,,,,
Jurong (West),1981,10,4,19.7,,,,,,,,
Jurong (West),1981,10,5,0.3,,,,,,,,
Jurong (West),1981,10,6,1.9,,,,,,,,
Jurong (West),1981,10,7,7.5,,,,,,,,
Jurong (West),1981,10,8,6.6,,,,,,,,
Jurong (West),1981,10,9,0,,,,,,,,
Jurong (West),1981,10,10,0,,,,,,,,
Jurong (West),1981,10,11,13.4,,,,,,,,
Jurong (West),1981,10,12,0.3,,,,,,,,
Jurong (West),1981,10,13,5.4,,,,,,,,
Jurong (West),1981,10,14,45.8,,,,,,,,
Jurong (West),1981,10,15,7.5,,,,,,,,
Jurong (West),1981,10,16,0.5,,,,,,,,
Jurong (West),1981,10,17,27.6,,,,,,,,
Jurong (West),1981,10,18,0.4,,,,,,,,
Jurong (West),1981,10,19,2.1,,,,,,,,
Jurong (West),1981,10,20,0.2,,,,,,,,
Jurong (West),1981,10,21,0,,,,,,,,
Jurong (West),1981,10,22,0,,,,,,,,
Jurong (West),1981,10,23,1.4,,,,,,,,
Jurong (West),1981,10,24,19.8,,,,,,,,
Jurong (West),1981,10,25,3.9,,,,,,,,
Jurong (West),1981,10,26,2.5,,,,,,,,
Jurong (West),1981,10,27,0,,,,,,,,
Jurong (West),1981,10,28,11.8,,,,,,,,
Jurong (West),1981,10,29,8.9,,,,,,,,
Jurong (West),1981,10,30,11.5,,,,,,,,
Jurong (West),1981,10,31,26,,,,,,,,
Jurong (West),1981,11,1,0.1,,,,,,,,
Jurong (West),1981,11,2,1.4,,,,,,,,
Jurong (West),1981,11,3,0.1,,,,,,,,
Jurong (West),1981,11,4,0.5,,,,,,,,
Jurong (West),1981,11,5,0,,,,,,,,
Jurong (West),1981,11,6,0.1,,,,,,,,
Jurong (West),1981,11,7,24.2,,,,,,,,
Jurong (West),1981,11,8,0,,,,,,,,
Jurong (West),1981,11,9,0,,,,,,,,
Jurong (West),1981,11,10,0,,,,,,,,
Jurong (West),1981,11,11,6.4,,,,,,,,
Jurong (West),1981,11,12,51.7,,,,,,,,
Jurong (West),1981,11,13,0,,,,,,,,
Jurong (West),1981,11,14,0,,,,,,,,
Jurong (West),1981,11,15,0,,,,,,,,
Jurong (West),1981,11,16,0,,,,,,,,
Jurong (West),1981,11,17,0,,,,,,,,
Jurong (West),1981,11,18,0,,,,,,,,
Jurong (West),1981,11,19,7.3,,,,,,,,
Jurong (West),1981,11,20,0,,,,,,,,
Jurong (West),1981,11,21,1.3,,,,,,,,
Jurong (West),1981,11,22,2,,,,,,,,
Jurong (West),1981,11,23,23.3,,,,,,,,
Jurong (West),1981,11,24,0.1,,,,,,,,
Jurong (West),1981,11,25,1.3,,,,,,,,
Jurong (West),1981,11,26,0.5,,,,,,,,
Jurong (West),1981,11,27,0.7,,,,,,,,
Jurong (West),1981,11,28,11.5,,,,,,,,
Jurong (West),1981,11,29,1.1,,,,,,,,
Jurong (West),1981,11,30,0,,,,,,,,
Jurong (West),1981,12,1,0,,,,,,,,
Jurong (West),1981,12,2,31.5,,,,,,,,
Jurong (West),1981,12,3,7,,,,,,,,
Jurong (West),1981,12,4,3.6,,,,,,,,
Jurong (West),1981,12,5,15.1,,,,,,,,
Jurong (West),1981,12,6,0.1,,,,,,,,
Jurong (West),1981,12,7,1.9,,,,,,,,
Jurong (West),1981,12,8,11.8,,,,,,,,
Jurong (West),1981,12,9,0,,,,,,,,
Jurong (West),1981,12,10,15.1,,,,,,,,
Jurong (West),1981,12,11,1.7,,,,,,,,
Jurong (West),1981,12,12,7.1,,,,,,,,
Jurong (West),1981,12,13,4.5,,,,,,,,
Jurong (West),1981,12,14,0.6,,,,,,,,
Jurong (West),1981,12,15,3.5,,,,,,,,
Jurong (West),1981,12,16,29.4,,,,,,,,
Jurong (West),1981,12,17,37.7,,,,,,,,
Jurong (West),1981,12,18,9.9,,,,,,,,
Jurong (West),1981,12,19,7.8,,,,,,,,
Jurong (West),1981,12,20,0.6,,,,,,,,
Jurong (West),1981,12,21,0,,,,,,,,
